title	type	url_slug	venue	date	location	teaching_url	description
湖北省优秀硕士学位论文指导教师（Excellent Master Dissertation Award of Hubei Province）	Grant	teaching-25		2014-01-01			My PhD Student: 周知
湖北省优秀硕士学位论文指导教师（Excellent Master Dissertation Award of Hubei Province）	Grant	teaching-24		2014-01-01			My Master Student: 舒鹏
计算机学院CS1501班班主任/导师	Mentor	teaching-23		2015-01-01			
Google Excellent Scholarship (Google优秀奖学金)指导教师	Grant	teaching-22		2013-01-01			My PhD Student: 周知
湖北省优秀学士学位论文指导教师	Grant	teaching-21		2012-01-01			
华中科技大学2012届本科生优秀毕业设计（论文）一等奖指导教师	Grant	teaching-20		2012-01-01			My PhD Student: 周知
华中科技大学暑期社会实践活动“优秀指导教师”	Grant	teaching-19		2013-01-01			
华中科技大学“招生宣传干部”	Grant	teaching-18		2019-01-01			
首届全国高校物联网应用创新大赛评委	Grant	teaching-17		2014-10-01			
Introduction to Information Technology (信息技术导论)		teaching-16	Huazhong University of Science & Technology	2017-09-01			
Introduction to Internet of Things (物联网技术导论)		teaching-15	Huazhong University of Science & Technology	2015-09-01			
Introduction to Internet of Things (物联网技术导论)		teaching-14	Huazhong University of Science & Technology	2014-03-01			
Fundamentals of Cloud Computing (云计算概论与技术基础)		teaching-13	Huazhong University of Science & Technology	2013-09-01			
Introduction to Internet of Things (物联网技术导论)		teaching-12	Huazhong University of Science & Technology	2013-03-01			
Fundamentals of Cloud Computing (云计算概论与技术基础)		teaching-11	Huazhong University of Science & Technology	2013-03-01			
2013年计算机科学与技术学院赴无锡市“智慧中国”暑期社会实践队指导老师	Mentor	teaching-10		2013-07-01			"Student team: 陶浩, 刘俊宁, 潘越, 王辉, 曾良咀，林子轩，杨荡，刘峥漩，马逸鹏"
Supervisor of Excellent-rank Students (特优生导师)	Grant	teaching-9		2012-07-01			"Yuchen Jin (continue his PhD study in University of Washington, under my recommentation), Qiao Gao (continue her PhD study in National University of Singapore under my recommendation), Yong Xu (continue her PhD study in University of Hong Kong), Qifan Yang (continue his Master study in Zhejiang University), Qixia Zhang (continue his PhD study under my supervision), Renwan Liu"
Introduction to Internet of Things (物联网技术导论)		teaching-8	Huazhong University of Science & Technology	2012-03-01			
Computer Communications & Networking (计算机通信与网络)		teaching-7	Huazhong University of Science & Technology	2012-03-01			
Introduction to Internet of Things (物联网技术导论)		teaching-6	Huazhong University of Science & Technology	2011-09-01			
Computer Networks Management Technology (计算机网络管理技术)		teaching-5	Huazhong University of Science & Technology	2011-09-01			
"COMP252, Operating System"	Teaching Assistant	teaching-4	Hong Kong University of Science and Technology	2008-09-01			
"COMP271, Data Structures and Algorithms"	Teaching Assistant	teaching-3	Hong Kong University of Science and Technology	2008-03-01			
"COMP252, Operating System"	Teaching Assistant	teaching-2	Hong Kong University of Science and Technology	2007-09-01			
Operating System	Teaching Assistant	teaching-1	"Yao Class (姚期智班), Tsinghua University"	2006-09-01			
